fantasyID,title,team,playerid,cost
589,BLAST Bounty 2026 Season 1 - Finals,Vitality,7322,190
589,BLAST Bounty 2026 Season 1 - Finals,Vitality,11816,227
589,BLAST Bounty 2026 Season 1 - Finals,Vitality,11893,236
589,BLAST Bounty 2026 Season 1 - Finals,Vitality,16693,218
589,BLAST Bounty 2026 Season 1 - Finals,Vitality,18462,211
589,BLAST Bounty 2026 Season 1 - Finals,FURIA,2023,186
589,BLAST Bounty 2026 Season 1 - Finals,FURIA,12553,209
589,BLAST Bounty 2026 Season 1 - Finals,FURIA,13915,210
589,BLAST Bounty 2026 Season 1 - Finals,FURIA,15631,223
589,BLAST Bounty 2026 Season 1 - Finals,FURIA,24144,221
589,BLAST Bounty 2026 Season 1 - Finals,Falcons,3741,203
589,BLAST Bounty 2026 Season 1 - Finals,Falcons,12018,190
589,BLAST Bounty 2026 Season 1 - Finals,Falcons,19230,225
589,BLAST Bounty 2026 Season 1 - Finals,Falcons,19677,184
589,BLAST Bounty 2026 Season 1 - Finals,Falcons,25432,185
589,BLAST Bounty 2026 Season 1 - Finals,Spirit,16920,215
589,BLAST Bounty 2026 Season 1 - Finals,Spirit,18317,187
589,BLAST Bounty 2026 Season 1 - Finals,Spirit,19808,207
589,BLAST Bounty 2026 Season 1 - Finals,Spirit,20423,189
589,BLAST Bounty 2026 Season 1 - Finals,Spirit,21167,235
589,BLAST Bounty 2026 Season 1 - Finals,Liquid,8520,196
589,BLAST Bounty 2026 Season 1 - Finals,Liquid,8738,191
589,BLAST Bounty 2026 Season 1 - Finals,Liquid,9436,189
589,BLAST Bounty 2026 Season 1 - Finals,Liquid,16820,176
589,BLAST Bounty 2026 Season 1 - Finals,Liquid,21763,186
589,BLAST Bounty 2026 Season 1 - Finals,PARIVISION,13776,182
589,BLAST Bounty 2026 Season 1 - Finals,PARIVISION,19235,178
589,BLAST Bounty 2026 Season 1 - Finals,PARIVISION,22471,194
589,BLAST Bounty 2026 Season 1 - Finals,PARIVISION,22929,193
589,BLAST Bounty 2026 Season 1 - Finals,PARIVISION,23685,199
589,BLAST Bounty 2026 Season 1 - Finals,GamerLegion,2553,170
589,BLAST Bounty 2026 Season 1 - Finals,GamerLegion,9278,189
589,BLAST Bounty 2026 Season 1 - Finals,GamerLegion,20301,191
589,BLAST Bounty 2026 Season 1 - Finals,GamerLegion,22279,195
589,BLAST Bounty 2026 Season 1 - Finals,GamerLegion,23766,175
589,BLAST Bounty 2026 Season 1 - Finals,HEROIC,19187,188
589,BLAST Bounty 2026 Season 1 - Finals,HEROIC,20119,185
589,BLAST Bounty 2026 Season 1 - Finals,HEROIC,21163,184
589,BLAST Bounty 2026 Season 1 - Finals,HEROIC,21983,173
589,BLAST Bounty 2026 Season 1 - Finals,HEROIC,22047,181
